telephone,country,url,name,address
Phone: (506) 737-3836,"Saint-Jacques, Canada",,Brewery In Planning - Saint-Jacques, 
Phone: (416) 400-9055,"Toronto, Canada",,Brewery In Planning - Toronto, 
Phone: (780) 429-4677,"Edmonton, Canada",,Brewsters Brewing Co. - Century Park,2335 111 Street 
Phone: (403) 208-2739,"Calgary, Canada",,Brewsters Brewing Co. - Crowfoot Crossing,25 Crowfoot Terrace NW 
Phone: (403) 233-2739,"Calgary, Canada",,Brewsters Brewing Co. - Eau Clair Market,101 Barclay Parade SW 
Phone: (403) 265-2739,"Calgary, Canada",,Brewsters Brewing Co. - Eleventh Ave,834 11th Ave SW 
Phone: (403) 723-2739,"Calgary, Canada",,Brewsters Brewing Co. - Foothills,5519 53rd Street SE 
Phone: (403) 225-2739,"Calgary, Canada",,Brewsters Brewing Co. - Lake Bonavista,25 Crowfoot Terrace NW 
Phone: (403) 208-2739,"Edmonton, Canada",,Brewsters Brewing Co. - Lakeside Landing,15327 Castledowns Road 
Phone: (306) 757-2739,"Regina, Canada",,Brewsters Brewing Co. - Landmark,4180 Albert St. 
Phone: (780) 421-4677,"Edmonton, Canada",,Brewsters Brewing Co. - Meadowlark,15820 87th Avenue 
Phone: (306) 522-2739,"Regina, Canada",,Brewsters Brewing Co. - Normanview,480 North McCarthy Blvd 
Phone: (780) 482-4677,"Edmonton, Canada",,Brewsters Brewing Co. - Oliver Square,11620 104th Ave 
Phone: (306) 761-1500,"Regina, Canada",,Brewsters Brewing Co. - Victoria East,1832 Victoria Ave E 
Phone: (519) 576-9100,"Waterloo, Canada",,Brick Brewing Co Ltd,181 King St S 
Phone: (604) 770-2739,"North Vancouver, Canada",,Bridge Brewing Company,1448 Charlotte Road 
Phone: (306) 382-6060,"Saskatoon, Canada",,Bridges Ale House and Eatery,2415 22nd St W 
Phone: (289) 821-2738,"Ridgeway, Canada",,Brimstone Brewing Company,209 Ridge Road N 
,"Ottawa, Canada",,Broadhead Brewing Company ,81 Auriga Drive Unit 27
Phone: (819) 537-0044,"Shawinigan, Canada",,Broadway Microbrasserie,540 Ave Broadway 
Phone: (819) 537-0044,"Shawinigan, Canada",,Broadway Pub Brasserie,520 Av Broadway 
,"Ottowa, Canada",,Broken Stick Brewing Company,78-5450 Canotek Rd 
,"Laval , Canada",,Broue Alliance ,3838 Boulevard Leman 
Phone: (514) 271-7571,"Montreal, Canada",,Broue Pub Brouhaha,5860 De Lorimier 
Phone: (647) 404-3700,"Toronto, Canada",,Brunswick Bierworks,25 Curity Ave 
Phone: (514) 393-9277,"Montreal, Canada",,Brutopia,1219 Rue Crescent 
Phone: (306) 778-9110,"Swift Current, Canada",,Buffalo Brewpub,240 Central Ave N/Ste 2 
Phone: (604) 421-2929,"Burnaby, Canada",,Burnaby Brewing Co,#3 3051 Underhill Ave 
Phone: (306) 359-7276,"Regina, Canada",,Bushwakker Brewing Co Ltd,2206 Dewdney Ave 
Phone: (514) 908-2337,"Montreal, Canada",,BVM Breweries,6729 de L'esplanade 
Phone: (416) 867-9499,"Toronto, Canada",,C`est What?,67 Front St East 
Phone: (613) 752-2739,"Calabogie, Canada",,Calabogie Brewing Company,12612 Lanark Rd.  
Phone: (604) 569-2739,"Vancouver, Canada",,Callister Brewing Company,1338 Franklin St 
,"Oakville, Canada",,Camerons Brewing Co,1165 Invicta Drive 
Phone: (250) 493-2723,"Penticton, Canada",,Cannery Brewing,198 Ellis St  
Phone: (250) 361-1940,"Victoria, Canada",,CANOE Brewpub,450 Swift St (Heritage Quay) 
,"Abbotsford , Canada",,Canuck Empire Brewing ,67-3087 Immel Street 
,"Casselman , Canada",,Cassel Brewing Company ,715 Principale St 
,"Saanichton, Canada",,Category 12 Brewing, Unit C 2200 Keating Cross Rd 
Phone: (519) 432-1425,"London, Canada",,CEEPS Barneys Ltd,671 Richmond St 
Phone: (506) 988-2551,"Riverview, Canada",,Celtic Knot Brewing, 
Phone: (604) 582-6620,"Surrey, Canada",,Central City Brewing Co,11411 Bridgeview Drive 
Phone: (519) 945-5512,"Windsor, Canada",,Charlys Brewpub / Timeout Brewing,4715 Tecumseh Road East 
Phone: (920) 533-2078,"Guysborough, Canada",,Chedabucto Bay Brewery / Rare Bird Pub,80 Main Street 
,"Toronto, Canada",,Cheshire Valley Brewing Co, 
Phone: (819) 691-3371,"Trois-Rivieres, Canada",,Chez Gambrinus,3160 Boulevard des Forges 
Phone: (306) 694-5100,"Moose Jaw, Canada",,Chillers Brew Pub,510 Home St W 
Phone: (705) 653-9950,"Campbellford, Canada",,Church Key Brewing Co,1678 County Rd #38 RR #2
,"Victoria, Canada",,Church Spirits & Ales Inc., 
,"Saskatoon, Canada",,Churchill Brewing Company,839 51st Street East 
Phone: (306) 384-6633,"Saskatoon, Canada",,Clarks Crossing Brewpub,3030 Diefenbaker Dr 
,"Tusket, Canada",,Clear Coast Brewery, 
Phone: (604) 850-8468,"Abbotsford, Canada",,Clearbrook Brewing,Unit 1 - 3275 McCallum Road 
Phone: (613) 233-7849,"Ottawa, Canada",,Clocktower Brewpub,832 Maplewood Ave 
,"Vancouver  , Canada",,Coal Harbor Brewing Company,1967 Triumph Street  
Phone: (289) 426-2374,"Hamilton, Canada",,Collective Arts Brewing,207 Burlington St East 
Phone: (905) 457-1975,"Toronto, Canada",,Cool Beer Brewing Co,164 Evans Avenue 
Phone: (418) 380-2505,"Levis, Canada",,Corsaire Microbrasserie,"8780B, Boul. Guillaume-Couture "
,"Lethbridge, Canada",,Coulee Brew Co,4085 2 Ave S 
Phone: (613) 915-2337,"Stittsville, Canada",,Covered Bridge Brewing,#6-119 Iber Road 
Phone: 18445234724,"Blyth, Canada",,Cowbell Brewing Co,40035 Blyth Rd 
Phone: (250) 737-2337,"Duncan, Canada",,Craig Street Brewing,45 Craig Street 
,"Sorrento, Canada",,Crannog Ales Ltd,706 Elson Road 
Phone: (306) 721-2739,"Regina, Canada",,Creekside Pub & Brewery,3215 Eastgate Drive 
Phone: (705) 466-2240,"Creemore, Canada",,Creemore Springs Brewery,139 Mill St 
Phone: (250) 614-2337,"Prince George, Canada",,CrossRoads Brewing,508 George St 
Phone: (250) 400-2739,"Cumberland, Canada",,Cumberland Brewing Company,2732 Dunsmuir Ave 
,"Prince George, Canada",,Cutbank Brewery Ltd., 
Phone: (604) 420-2050,"Burnaby, Canada",,Dageraad Brewing,"#114, 3191 Thunderbird Cres "
Phone: (604) 856-1055,"Aldergrove, Canada",,Dead Frog Brewery,Unit 1-27272 Gloucester Way 
Phone: (604) 770-1136,"North Vancouver , Canada",,Deep Cove Brewers and Distillers,Unit 170-2270 Dollarton Hwy  
,"St-Jérôme, Canada",,Dieu Du Ciel,259 Rue De Villemure 
Phone: (306) 580-8855,"Regina, Canada",,District Brewing Co,1555 8th Ave 
Phone: (604) 682-2739,"Vancouver, Canada",,Dix Barbecue and Brewery,871 Beatty St 
Phone: (604) 559-0415,"Vancouver, Canada",,Doan's Craft Brewing Company,1830 Powell St. 
Phone: (604) 685-7070,"Vancouver, Canada",,Dockside Brewing Co,Granville Island Hotel/1253 Johnson St 
Phone: (780) 849-1589,"Slave Lake, Canada",,Dog Island Brewing,250 Caribou Trail Box 1753
,"Ottawa, Canada",,Dominion City Brewing,#15 5510 Canotek Road 
Phone: (855) 467-5683,", Canada",,Double Trouble Brewing Company, 
Phone: (250) 590-2013,"Victoria, Canada",,Driftwood Brewing Co,#102-450 Hillside Ave 
Phone: (403) 346-1146,"Red Deer, Canada",,"Drummond Brewing Co, Ltd","#8, 6610 71 Street "
Phone: (709) 739-6344,"St. Johns, Canada",,Duke of Duckworth,325 Duckworth McMurdos Lane
Phone: (905) 686-3022,"Pickering, Canada",,Durham Brewing Co,"1885 Clements Rd, #273 "
,"Vancouver, Canada",,East Vancouver Brewing Company, 
Phone: (416) 918-2404,"Toronto, Canada",,Eastbound Brewing Company,700 Queen St East 
Phone: (519) 824-1195,"Guelph, Canada",,F & M Brewery,355 Elmira Road 
Phone: (604) 615-2327,"Vancouver, Canada",,Factory Brewing Ltd, 
,"Vancouver, Canada",,Faculty Brewing Co.,1830 Ontario Street 
Phone: (204) 777-0909,"Neepawa, Canada",,Farmery Estate Brewery,Po Box 519 
,"Farnham, Canada",,Farnham Ale and Lager,401 Boulevard De Normandie Nord 
Phone: (250) 716-2739,"Nanaimo, Canada",,Fat Cat Brewery,940 Old Victoria Rd #2 
Phone: (780) 623-0477,"Plamondon, Canada",,Fat Unicorn Brewery,Fat Unicorn Brewery 
Phone: (406) 290-1715,"Airdrie, Canada",,Federation of Beer,PO Box 70065 
Phone: (418) 464-2668,"St-Polycarpe, Canada",,Ferme Brasserie Schoune,2075 Ste-Catherine 
Phone: (250) 423-7797,"Fernie, Canada",,Fernie Brewing Company,26 Manitou Rd 
,"Oliver, Canada",,Firehall Brewery ,6077 Main Street  
,"Kelowna, Canada",,Fireweed Brewing Corporation ,1083 Richter Street  
Phone: (705) 721-8989,"Barrie, Canada",,Flying Monkey Brewing Co,107 Dunlop Street East 
Phone: (604) 459-7837,"Pitt Meadows, Canada",,Foamers' Folly Brewing Co.,19221 122A Ave 
Phone: (780) 865-6339,"Hinton, Canada",,Folding Mountain Brewing, 
Phone: (250) 702-7975,"Courtenay, Canada",,Forbidden Brewing Co., 
,"London , Canada",,Forked River Brewing Company,45 Pacific Court  Unit 16
Phone: (204) 487-3678,"Winnipeg, Canada",,Fort Garry Brewing Co Ltd.,130 Lowson Crescent 
Phone: (604) 940-9949,"Delta, Canada",,Four Winds Brewing Company Ltd,# 4 - 7355 72nd Street 
Phone: (306) 664-2233,"Saskatoon, Canada",,Fox and Hounds Pub and Brewery,20-7 Asisniboine Dr 
Phone: 418-479-5683,"Frampton, Canada",,Frampton Brasse,430 5eme Rang 
Phone: (250) 491-2695,"Kelowna, Canada",,Freddys Brewpub,948 McCurdy Road 
Phone: (250) 765-8956,"Kelowna , Canada",,Freddy's Brewpub,124-948 McCurdy Rd.  
,"Calgary, Canada",,Freehold Brewing Company, 
,"Richmond, Canada",,Fuggles & Warlock Craftworks,Unit 103 - 11220 Horseshoe Way 
,"Charlottetown, Canada",,Gahan Brewery -Production facility,449 University Ave 
,"Gatineau, Canada",,Gainsbourg Bistro-brasserie,9 Aubry St 
Phone: (416) 520-1972,"Gananoque, Canada",,Gananoque Brewing Company,9 King Street East 
Phone: (902) 453-5343,"Halifax, Canada",,Garrison Brewing Co,1149 Marginal Rd 
,"Trenton , Canada",,Gateway Brewing Company ,33 Ontario Street  
Phone: 519-843-1660,"Fergus, Canada",,Gilbertson & Page (Canada) Inc.,620 Glengarry Cres. 
Phone: (250) 661-4664,"Courtenay, Canada",,Gladstone Brewing,244 4th Ave SW 
Phone: (519) 886-2071,"Waterloo, Canada",,Gold Crown Brewing Co,71 King St N 
Phone: (819) 562-4589,"Sherbrooke, Canada",,Golden Lion Pub and Brewing Co,2896 College Street/PO Box 474 
Phone: 1 403-282-5315,"Calgary, Canada",,Good Mood Brewery, 
Phone: (519) 620-3233,"Cambridge, Canada",,Grand River Brewing,295 Ainslie St South 
Phone: (416) 322-0723,"Toronto, Canada",,Granite Brewery,245 Eglinton Ave E 
Phone: (902) 423-5660,"Halifax, Canada",,Granite Brewery (No 2),6054 Stairs St 
Phone: (604) 687-2739,"Vancouver, Canada",,Granville Island Brewing Co,1441 Cartwright St 
Phone: 604-687-2739,"Vancouver, Canada",,Granville Island Brewing Co,1441 Cartwright Street 
Phone: (506) 459-7710,"Fredericton, Canada",,Gray Stone Brewing,221king st 
,"Toronto, Canada",,Great Lakes Brewery,30 Queen Elizabeth Blvd 
Phone: (416) 255-4510,"Etobicoke, Canada",,Great Lakes Brewing Co/Etobicoke,30 Queen Elizabeth Blvd 
Phone: (306) 653-4653,"Saskatoon, Canada",,Great Western Brewing Co,519 Second Ave N 
,"North Vancouver, Canada",,Green Leaf Brewing ,123 Carrie Cates Ct.  
Phone: (506) 454-4810,"Fredericton, Canada",,Grimross Brewing Co,600 Bishop Drive 
Phone: (403) 678-9983,"Canmore, Canada",,Grizzly Paw Brewing Co,622 8th St 
Phone: (250) 653-2383,"Salt Spring Island, Canada",,Gulf Islands Brewery,270 Furness Rd 
Phone: (403) 605-0420,"Cochrane, Canada",,Half Hitch Brewing,15 Box Ridge Road 
Phone: (204) 832-7468,"Winnipeg, Canada",,Half Pints Brewing Co,550 Roseberry Street 
Phone: (506) 333-4807,"Quispamis, Canada",,Hammond River Brewing Company,135 Stock Farm Rd 
Phone: (519) 699-4413,"Heidelberg, Canada",,Heidelberg Restaurant and Brewery,"PO Box 116, Two King St "
Phone: (902) 356-3556,"Liverpool, Canada",,Hell Bay Brewing Company,38 Legion St 
Phone: (604) 263-9994,"Vancouver, Canada",,Hell' S Gate Brewing Co,406-1148 Homer St. 
,"Medicine Hat, Canada",,Hells Basement Brewery,"#10, 552 18st SW "
Phone: (514) 276-0473,"Montreal, Canada",,HELM Brasseur Gourmand,273 Rue Bernard Ouest 
Phone: (613) 257-7845,"Carlton Place, Canada",,Heritage Brewing Ltd,40 Bennett St Unit 5-7 
Phone: (604) 905-2739,"Whistler, Canada",,High Mountain Brewing Co,4355 Blackcomb Way 
Phone: (705) 386-2337,"South River, Canada",,Highlander Brewing Co,19 Howard St 
Phone: (819) 691-6165,"Ste-Sophie , Canada",,HM Brewing E, 
Phone: (519) 941-8887,"Orangeville, Canada",,Hockley Valley Brewing,25 Centennial Rd 
,"Saint Albert, Canada",,Hogs Head Brewing Company ,16 Rayborn Crescent 
Phone: (780) 459-2204,"Albert, Canada",,Hog's Head BrewingCompany,16 Rayborn Crescent St 
,"Assomption , Canada",,Hopfenstark,643 L'Ange-Gardien 
Phone: (450) 713-3060,"L'Assomption, Canada",,Hopfenstark,643 Boulevard L'Ange Gardien 
Phone: (306) 477-3473,"Saskatoon, Canada",,Hose and Hydrant Brewing Co,612 11th St E 
Phone: (604) 377-4426,"Squamish, Canada",,Howe Sound Brewing Co,PO Box 978 / 37801 Cleveland Ave 
Phone: (250) 590-5758,"Victoria, Canada",,Hoyne Brewing Co,2740 Bridge Street 
,"Ingleside, Canada",,Humble Beginnings Brewing Co., 
Phone: (416) 316-0510,"Toronto, Canada",,Indie Ale House,2876 Dudas W 
Phone: (416) 835-5951,"Toronto, Canada",,Junction Craft Brewing,90 Cawthra Avenue 
Phone: (250) 851-2543,"Kamloops, Canada",,Kamloops Brewery Ltd.,965 McGill Pl 
Phone: 647-998-6951,"Toronto, Canada",,Kensington Brewing Company,156 Augusta Ave 
Phone: (250) 862-5115,"Kelowna, Canada",,Kettle River Brewing Co,731 Baillie Ave 
,"Ottawa , Canada",,Kichesippi Beer Company ,866 Campbell Ave 
Phone: (226) 909-2122,"Owen Sound, Canada",,Kilannan Brewing Co.,103015 Grey Road 18 RR4
Phone: (905) 859-5464,"Nobleton, Canada",,King Brewery,5645 King Road 
Phone: (613) 542-4978,"Kingston, Canada",,Kingston Brewing Co,34 Clarence St 
,"Quebec, Canada",,Korrigane Brasserie Artisanale,380 rue Dorchester 
Phone: (604) 599-2357,"Surrey, Canada",,Kwantlen Polytechnic University Brewing and Brewery Operations Dipl,KPU - Brewing 12666 72 Ave
Phone: (418) 692-2877,"Quebec City, Canada",,L`Inox Maitres Brasseurs,"655, Grande Allée Est "
Phone: (418) 522-4373,"Quebec City, Canada",,La Barberie,"310, rue Saint-Roch "
Phone: (418) 544-8417,"Saguenay, Canada",,"La Korrigane, Café Bistro Victoria","907, rue Mars "
Phone: (418) 226-4646,"Saint Georges De Beauce, Canada",,La Societe Microbrasserie,11640 1 Ave 
Phone: (581) 742-1144,"Quebec, Canada",,La Souche Brasserie Artisanale,801 Chemin De La Canadiere 
Phone: (418) 545-7272,"Saguenay, Canada",,La Tour a Bieres,517 rue Racine Est 
Phone: (418) 542-4373,"Saguenay, Canada",,La Voie Maltee,2509 rue St-Dominique 
Phone: (418) 549-4141,"Chicoutimi, Canada",,La Voie Maltee - Chicoutimi,777 Boulevard Talbot 
Phone: (780) 436-0839,"Edmonton, Canada",,Labatt Breweries-Alberta,7724 69 St NW 
Phone: (709) 579-0121,"St Johns, Canada",,Labatt Breweries-Newfoundland,PO Box 7160 /W End Postal Sta. 
Phone: (519) 663-5050,"London, Canada",,Labatt Breweries-Ontario,PO Box 5050/150 Simcoe St 
Phone: (514) 366-5050,"LaSalle, Canada",,"Labatt, La Brasserie-Quebec",50 Labatt St 
Phone: (250) 428-9344,"Creston, Canada",,Labatt-Columbia Brewing Co,1220 Erickson St 
Phone: (902) 453-1867,"Halifax, Canada",,Labatt-Oland Breweries,3055 Agricola St 
,"Saint-Jean-sur-Richelieu, Canada",,Lagabière,167 Rue Richelieu 
Phone: (705) 767-2313,"Baysville, Canada",,"Lake of Bays Brewing Co, Ltd",PO Box 17 / 2681 Muskoka Rd 117 
,"Kenora , Canada",,Lake of the Woods Brewing Company,350 Second Street South  
