telephone,country,url,name,address
1-204-951-7354,"Winnipeg, Canada",http://barnhammerbrewing.ca,Barn Hammer Brewing Co,595 Wall St 
(902) 621-2086,"Breadalbane, Canada",,BarNone Brewery and Hop Farm,4248 Route 225  RR4 Rose Valley
(604) 313-9505,"Delta, Canada",,Barnside Brewing Co.,6545 60th Ave 
(705) 481-1701,"Barrie, Canada",http://www.barnstormerbrewing.com,Barnstormer Brewing,384 Yonge Street Unit 3
(519) 676-1888,"Erieau, Canada",http://www.baysidebrewing.com,Bayside Brewing Company, 
(780) 852-4111,"Jasper, Canada",http://www.bearhillbrewingco.ca,Bear Hill Brewing Company,624 Connaught Dr PO Box 458
(613) 678-2799,"Vankleek Hill, Canada",http://www.beaus.ca,Beau's All Natural Brewing Co,10 Terry Fox Dr 
(250) 995-2337,"Victoria, Canada",http://www.bedfordbrewing.com,Bedford Brewing,776 Fairview Rd 
(450) 447-5165,"Chambly, Canada",http://www.bedondaine.com,Bedondaine & Bedons Ronds,"255, rue Ostiguy "
(819) 442-3839,"Amos, Canada",http://www.belghbrasse.com,Belgh Brasse,8 De La Brasserie 
,"Toronto, Canada",http://www.bellwoodsbrewery.com,Bellwood's Brewery,124 Ossington Ave 
,"Oakville, Canada",,Bench Brewing Company, 
78051770008,"Yellowhead County, Canada",http://www.benchcreekbrewing.com,Bench Creek Brewing,53527 Rge Rd 181A 
(438) 390-2350,"Montréal, Canada",http://brasseriebenelux.com,Benelux Brasserie Artisanale et Cafe,245 Rue Sherbrooke O 
(905) 681-2739,"Burlington, Canada",http://www.nickelbrook.com,Better Bitters Brewing Co,864 Drury Lane 
(613) 695-2991,"Otawa, Canada",http://www.beyondthepale.ca,Beyond the Pale,5 Hamilton Ave North 
(613) 408-3362,"Ottawa, Canada",http://www.bicyclecraftbrewery.ca,Bicycle Craft Brewery,850 Industrial Ave 
(514) 933-7576,"Montreal, Canada",http://www.bierbrier.com,Bierbrier Brewing Inc,1250 Rene-Levesque West Suite 2200 
(506) 575-1093,"Nackawic, Canada",http://www.bigaxe.ca,Big Axe Brewery,519 Otis Dr 
(604) 574-2739,"Surrey, Canada",,Big Ridge Brewing Co,5580 152 St 
(604) 574-2739,"Surrey, Canada",http://www.mjg.ca/big-ridge,Big Ridge Brewing Company,5580 152 St  
(613) 688-3336,"Ottawa, Canada",,Big Rig Brewery,2750A Iris Street 
(604) 271-2739,"Richmond, Canada",,Big River Brewing Co,"14200 Entertainment Way, #180 "
,"Calgary, Canada",http://www.bigrockbrewery.com,Big Rock Brewery Ltd,5555 76th Ave SE 
,"Kelowna, Canada",,Big Surf Beer Co,8860 Jim Bailey Cres 
(506) 214-3311,"Saint John, Canada",http://www.bigtidebrew.com,Big Tide Brewing Company,47 Princess St 
(514) 788-7635,"Montreal, Canada",http://www.bblsg.com,Bistro Brasserie Les Soeurs Grises,32 Rue McGill 
(819) 682-1221,"Gatineau, Canada",http://www.lautreoeil.com,Bistro L'Autre Oeil,55 Rue Principale 
,"Swift Current, Canada",,Black Bridge Brewery Ltd,295 Alexander Drive 
(416) 736-1733,"Toronto, Canada",http://www.blackcreekbrewery.ca,Black Creek Historic Brewery,1000 Murray Ross Pkwy 
,"North Vancouver, Canada",,Black Kettle Brewing Co ,720 Copping St 
(416) 252-2739,"Toronto, Canada",http://www.blackoakbeer.com,Black Oak Brewing Co,75 Horner Ave Unit #1 
(519) 814-7926,"Stratford, Canada",http://www.blackswanbrewing.ca,Black Swan Brewing Company,144 Downie St 
+1-780-699-8862,"Edmonton, Canada",http://www.blindenthusiasm.ca,Blind Enthusiasm Brewing Company, 
(403) 786-2337,"Lacombe, Canada",http://www.blindmanbrewing.com,Blindman Brewing,Bay F - 3413 53 Avenue 
,"St. Jacobs, Canada",,Block Three Brewing Company ,1430 King Street North  
(236) 420-0025,"Kelowna, Canada",http://www.bnabrewing.com,BNA Brewing Company,1250 Ellis St. 
(705) 243-7077,"Toronto, Canada",http://bobcaygeonbrewing.ca,Bobcaygeon Brewing Company,1 Fallingbrook Woods 
(604) 428-7457,"Vancouver, Canada",http://www.bomberbrewing.com,Bomber Brewing Co.,1488 Adanac St 
,"Kelowna, Canada",,Bone Brewing Co ,4-8860 Jim Bailey Cres 
(306) 586-3553,"Regina, Canada",,Bonzzinis Brewpub,4634 Albert St 
(819) 542-1311,"Sherbrooke, Canada",http://www.boquebiere.com,Boquebiere,"50, rue Wellington Nord "
(250) 851-2543,"Kamloops, Canada",http://www.bowenislandbeer.com,Bowen Island Brewing Co,965 McGill Pl 
,"Shelburne, Canada",http://www.boxingrock.ca,Boxing Rock Brewing Company,78 Ohio Rd 
(514) 849-7779,"Montreal, Canada",http://www.brasseriereservoir.ca,Brasserie Artisanale & Bistro / Reservoir,9 DuLuth Est 
(450) 759-7482,"Joliette, Canada",http://www.brasseriealbion.com,Brasserie Artisanale Albion,408 Boul Manseua 
(514) 508-1615,"Montreal, Canada",http://www.lasuccursale.com,Brasserie Artisanale La Succursale,318 Rue Mason 
45081816039,"Sainte-Thérèse, Canada",http://www.saintgraal.ca,Brasserie Artisanale Le Saint Graal,32 Rue Turgeon
(819) 732-6519,"Amos, Canada",,Brasserie Belgh Brasse,8 rue de la Brasserie 
,"Montreal , Canada",,Brasserie Bierbrier,370 Rue Guy  G9
(514) 490-9555,"Montreal, Canada",http://www.dieuduciel.com,Brasserie Dieu Du Ciel,29 Laurier Ouest 
(450) 436-3438,"Saint Jerome, Canada",http://www.dieuduciel.com,Brasserie Dieu Du Ciel,259 rue de Villemure 
(450) 295-1500,"Dunham, Canada",http://www.brasseriedunham.com,Brasserie Dunham,"3809 Principale, Local 104 "
(418) 614-0932,"Quebec, Canada",http://www.korrigane.ca,Brasserie La Korrigane,380 Rue Dorchester 
(800) 945-1934,"St-Hyacinthe, Canada",http://www.lecardinal-brasserie.ch,Brasserie Le Cardinal,5420 Martineau 
(450) 534-0066,"Bromont, Canada",,Brasserie Le Chaudron,92 Boulevard de Bromont 
(819) 537-9151,"Shawinigan, Canada",http://www.troududiable.com,Brasserie Le Trou Du Diable,412 Avenue Willow 
(514) 939-3060,"Montreal, Canada",http://www.mcauslan.com,Brasserie McAuslan,5080 rue St Ambroise 
(514) 312-3035,"Boucherville, Canada",http://www.brasserie-newdeal.com,Brasserie New Deal Brewery Co.,"1500 Nobel Street, Suite J "
(450) 826-4609,"Saint-Antoine-Abbe, Canada",http://www.brasserie-saint-antoine-abbe.com,Brasserie Saint-Antoine-Abbe,"3299, Route 209 "
(450) 587-2122,"Contrecoeur, Canada",,Brasserie Tchèquebec,4245 Route Marie-Victorin 
(514) 908-2337,"Montreal, Canada",,Brasseries BVM du Canada,"6729, avenue de l`Esplanade "
(514) 788-4505,"Montreal, Canada",,Brasseurs De Montréal Inc,1485 Ottawa 
(514) 267-3369,"Saint-Hyacinthe, Canada",http://www.brasseursdumonde.ca,Brasseurs Du Monde,3755 Picard 
(450) 247-2393,"Durham, Canada",http://www.betf.ca,Brasseurs et Freres,3809 rue Principale 
(514) 274-4941,"Montreal, Canada",,Brasseurs GMT,5585 Rue De La Roche 
(450) 598-1363,"Saint-Eustache, Canada",http://www.brasseursillimites.com,Brasseurs Illimites,385 Rue Du Parc 
(506) 733-1313,"Edmundston, Canada",http://www.petitsault.com,Brasseurs Petit Sault,45 De L'Eglise St 
(514) 274-4941,"Montreal, Canada",http://www.brasseursrj.com,Brasseurs RJ,5585 Rue de la Roche 
(438) 822-1197,"Montreal, Canada",http://www.brasseurssansgluten.com,Brasseurs San Gluten,950-2350 Dickson 
,"Vancouver, Canada",,Brassneck Brewery ,2148 Main St.  
(514) 788-4500,"Montreal, Canada",http://www.brasseurdemontreal.com,Brassuer De Montreal Brewing Company,1483 Ottawa 
(204) 453-7980,"Winnipeg, Canada",http://www.brazenhall.ca,Brazen Hall Brewery,800 Pembina Hwy 
(403) 258-2739,"Calgary, Canada",,Brew Brothers Brewing Co,PO Box 82015 RPO Scarboro 607 - 11th Avenue SW
(403) 861-3529,"Calgary, Canada",,Brewery in Planning - Calgary, 
40039015448,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Kemptville, Canada",,Brewery in Planning - Kemptville, 
(647) 284-3956,"Mississauga, Canada",,Brewery in Planning - Mississauga, 
(613) 882-8648,"Ottawa, Canada",http://www.kairosene.com,Brewery in Planning - Ottawa, 
(613) 863-8798,"Ottawa, Canada",http://www.nitabeer.com,Brewery In Planning - Ottawa,190 Colonnade Road 
(506) 737-3836,"Saint-Jacques, Canada",,Brewery In Planning - Saint-Jacques, 
(416) 400-9055,"Toronto, Canada",,Brewery In Planning - Toronto, 
(780) 429-4677,"Edmonton, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Century Park,2335 111 Street 
(403) 208-2739,"Calgary, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Crowfoot Crossing,25 Crowfoot Terrace NW 
(403) 233-2739,"Calgary, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Eau Clair Market,101 Barclay Parade SW 
(403) 265-2739,"Calgary, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Eleventh Ave,834 11th Ave SW 
(403) 723-2739,"Calgary, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Foothills,5519 53rd Street SE 
(403) 225-2739,"Calgary, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Lake Bonavista,25 Crowfoot Terrace NW 
(403) 208-2739,"Edmonton, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Lakeside Landing,15327 Castledowns Road 
(306) 757-2739,"Regina, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Landmark,4180 Albert St. 
(780) 421-4677,"Edmonton, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Meadowlark,15820 87th Avenue 
(306) 522-2739,"Regina, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Normanview,480 North McCarthy Blvd 
(780) 482-4677,"Edmonton, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Oliver Square,11620 104th Ave 
(306) 761-1500,"Regina, Canada",http://www.brewstersbrewingco.com,Brewsters Brewing Co. - Victoria East,1832 Victoria Ave E 
(519) 576-9100,"Waterloo, Canada",http://www.brickbeer.com,Brick Brewing Co Ltd,181 King St S 
(604) 770-2739,"North Vancouver, Canada",http://www.bridgebrewing.com,Bridge Brewing Company,1448 Charlotte Road 
(306) 382-6060,"Saskatoon, Canada",,Bridges Ale House and Eatery,2415 22nd St W 
(289) 821-2738,"Ridgeway, Canada",http://www.brimstonebrerwing.ca,Brimstone Brewing Company,209 Ridge Road N 
,"Ottawa, Canada",,Broadhead Brewing Company ,81 Auriga Drive Unit 27
(819) 537-0044,"Shawinigan, Canada",http://www.bwmicrobrasserie.com,Broadway Microbrasserie,540 Ave Broadway 
(819) 537-0044,"Shawinigan, Canada",http://www.bwmicrobrasserie.com,Broadway Pub Brasserie,520 Av Broadway 
,"Ottowa, Canada",http://www.brokenstickbrewing.com,Broken Stick Brewing Company,78-5450 Canotek Rd 
,"Laval , Canada",,Broue Alliance ,3838 Boulevard Leman 
(514) 271-7571,"Montreal, Canada",,Broue Pub Brouhaha,5860 De Lorimier 
(647) 404-3700,"Toronto, Canada",http://www.brunswickbierworks.com,Brunswick Bierworks,25 Curity Ave 
(514) 393-9277,"Montreal, Canada",http://www.brutopia.net,Brutopia,1219 Rue Crescent 
(306) 778-9110,"Swift Current, Canada",,Buffalo Brewpub,240 Central Ave N/Ste 2 
(604) 421-2929,"Burnaby, Canada",http://www.burnabybrewing.com,Burnaby Brewing Co,#3 3051 Underhill Ave 
(306) 359-7276,"Regina, Canada",http://2206 Dewdney Ave.,Bushwakker Brewing Co Ltd,2206 Dewdney Ave 
(514) 908-2337,"Montreal, Canada",,BVM Breweries,6729 de L'esplanade 
(416) 867-9499,"Toronto, Canada",http://www.cestwhat.com,C`est What?,67 Front St East 
(613) 752-2739,"Calabogie, Canada",http://www.calabogiebrewingco.ca,Calabogie Brewing Company,12612 Lanark Rd.  
(604) 569-2739,"Vancouver, Canada",http://www.callisterbrewing.com,Callister Brewing Company,1338 Franklin St 
,"Oakville, Canada",,Camerons Brewing Co,1165 Invicta Drive 
(250) 493-2723,"Penticton, Canada",http://www.cannerybrewing.com,Cannery Brewing,198 Ellis St  
(250) 361-1940,"Victoria, Canada",,CANOE Brewpub,450 Swift St (Heritage Quay) 
,"Abbotsford , Canada",,Canuck Empire Brewing ,67-3087 Immel Street 
,"Casselman , Canada",,Cassel Brewing Company ,715 Principale St 
,"Saanichton, Canada",http://www.category12beer.com,Category 12 Brewing, Unit C 2200 Keating Cross Rd 
(519) 432-1425,"London, Canada",,CEEPS Barneys Ltd,671 Richmond St 
(506) 988-2551,"Riverview, Canada",http://www.facebook.com/celticknotbrewing,Celtic Knot Brewing, 
(604) 582-6620,"Surrey, Canada",http://www.centralcitybrewing.com,Central City Brewing Co,11411 Bridgeview Drive 
(519) 945-5512,"Windsor, Canada",http://www.mnsi.net/~dcoop/index.htm,Charlys Brewpub / Timeout Brewing,4715 Tecumseh Road East 
(920) 533-2078,"Guysborough, Canada",http://www.rarebirdpub.com,Chedabucto Bay Brewery / Rare Bird Pub,80 Main Street 
,"Toronto, Canada",,Cheshire Valley Brewing Co, 
(819) 691-3371,"Trois-Rivieres, Canada",,Chez Gambrinus,3160 Boulevard des Forges 
(306) 694-5100,"Moose Jaw, Canada",,Chillers Brew Pub,510 Home St W 
(705) 653-9950,"Campbellford, Canada",http://www.churchkeybrewing.com,Church Key Brewing Co,1678 County Rd #38 RR #2
,"Victoria, Canada",,Church Spirits & Ales Inc., 
,"Saskatoon, Canada",,Churchill Brewing Company,839 51st Street East 
(306) 384-6633,"Saskatoon, Canada",,Clarks Crossing Brewpub,3030 Diefenbaker Dr 
,"Tusket, Canada",,Clear Coast Brewery, 
(604) 850-8468,"Abbotsford, Canada",http://www.clearbrookbrewing.com,Clearbrook Brewing,Unit 1 - 3275 McCallum Road 
(613) 233-7849,"Ottawa, Canada",,Clocktower Brewpub,832 Maplewood Ave 
,"Vancouver  , Canada",,Coal Harbor Brewing Company,1967 Triumph Street  
(289) 426-2374,"Hamilton, Canada",http://www.collectiveartsbrewing.com,Collective Arts Brewing,207 Burlington St East 
(905) 457-1975,"Toronto, Canada",http://www.coolbeer.com,Cool Beer Brewing Co,164 Evans Avenue 
(418) 380-2505,"Levis, Canada",http://www.corsairemicro.com,Corsaire Microbrasserie,"8780B, Boul. Guillaume-Couture "
,"Lethbridge, Canada",,Coulee Brew Co,4085 2 Ave S 
(613) 915-2337,"Stittsville, Canada",http://www.coveredbridgebrewing.com,Covered Bridge Brewing,#6-119 Iber Road 
18445234724,"Blyth, Canada",http://www.cowbellbrewing.com,Cowbell Brewing Co,40035 Blyth Rd 
(250) 737-2337,"Duncan, Canada",,Craig Street Brewing,45 Craig Street 
,"Sorrento, Canada",,Crannog Ales Ltd,706 Elson Road 
(306) 721-2739,"Regina, Canada",,Creekside Pub & Brewery,3215 Eastgate Drive 
(705) 466-2240,"Creemore, Canada",http://www.creemoresprings.com,Creemore Springs Brewery,139 Mill St 
(250) 614-2337,"Prince George, Canada",http://www.crossroadscraft.com,CrossRoads Brewing,508 George St 
(250) 400-2739,"Cumberland, Canada",http://www.cumberlandbrewing.com,Cumberland Brewing Company,2732 Dunsmuir Ave 
,"Prince George, Canada",http://cutbankbrewery.com/,Cutbank Brewery Ltd., 
(604) 420-2050,"Burnaby, Canada",http://www.dageraadbrewing.com,Dageraad Brewing,"#114, 3191 Thunderbird Cres "
(604) 856-1055,"Aldergrove, Canada",http://www.deadfrogbrewery.com,Dead Frog Brewery,Unit 1-27272 Gloucester Way 
(604) 770-1136,"North Vancouver , Canada",http://www.deepcovecraft.com,Deep Cove Brewers and Distillers,Unit 170-2270 Dollarton Hwy  
,"St-Jérôme, Canada",,Dieu Du Ciel,259 Rue De Villemure 
(306) 580-8855,"Regina, Canada",http://districtbrewing.ca,District Brewing Co,1555 8th Ave 
(604) 682-2739,"Vancouver, Canada",,Dix Barbecue and Brewery,871 Beatty St 
(604) 559-0415,"Vancouver, Canada",http://www.doanscraftbrewing.com,Doan's Craft Brewing Company,1830 Powell St. 
(604) 685-7070,"Vancouver, Canada",,Dockside Brewing Co,Granville Island Hotel/1253 Johnson St 
(780) 849-1589,"Slave Lake, Canada",http://www.dogislandbrewing.com,Dog Island Brewing,250 Caribou Trail Box 1753
,"Ottawa, Canada",,Dominion City Brewing,#15 5510 Canotek Road 
(855) 467-5683,", Canada",http://www.doubletroublebrewing.com,Double Trouble Brewing Company, 
(250) 590-2013,"Victoria, Canada",http://www.driftwoodbeer.com,Driftwood Brewing Co,#102-450 Hillside Ave 
(403) 346-1146,"Red Deer, Canada",http://www.drummondbeer.com,"Drummond Brewing Co, Ltd","#8, 6610 71 Street "
(709) 739-6344,"St. Johns, Canada",http://www.theduke.nf.ca,Duke of Duckworth,325 Duckworth McMurdos Lane
(905) 686-3022,"Pickering, Canada",,Durham Brewing Co,"1885 Clements Rd, #273 "
,"Vancouver, Canada",,East Vancouver Brewing Company, 
(416) 918-2404,"Toronto, Canada",http://www.eastboundbeer.com,Eastbound Brewing Company,700 Queen St East 
(519) 824-1195,"Guelph, Canada",http://www.fmbrewery.com,F & M Brewery,355 Elmira Road 
(604) 615-2327,"Vancouver, Canada",http://www.factory.beer,Factory Brewing Ltd, 
,"Vancouver, Canada",,Faculty Brewing Co.,1830 Ontario Street 
(204) 777-0909,"Neepawa, Canada",http://www.farmery.ca,Farmery Estate Brewery,Po Box 519 
,"Farnham, Canada",,Farnham Ale and Lager,401 Boulevard De Normandie Nord 
(250) 716-2739,"Nanaimo, Canada",,Fat Cat Brewery,940 Old Victoria Rd #2 
(780) 623-0477,"Plamondon, Canada",http://www.fubrew.com,Fat Unicorn Brewery,Fat Unicorn Brewery 
(406) 290-1715,"Airdrie, Canada",http://www.federationofbeer.com,Federation of Beer,PO Box 70065 
(418) 464-2668,"St-Polycarpe, Canada",,Ferme Brasserie Schoune,2075 Ste-Catherine 
(250) 423-7797,"Fernie, Canada",http://www.ferniebrewing.com,Fernie Brewing Company,26 Manitou Rd 
,"Oliver, Canada",,Firehall Brewery ,6077 Main Street  
,"Kelowna, Canada",,Fireweed Brewing Corporation ,1083 Richter Street  
(705) 721-8989,"Barrie, Canada",http://www.robertsimpsonbrewery.com,Flying Monkey Brewing Co,107 Dunlop Street East 
(604) 459-7837,"Pitt Meadows, Canada",http://www.foamersfolly.ca,Foamers' Folly Brewing Co.,19221 122A Ave 
(780) 865-6339,"Hinton, Canada",,Folding Mountain Brewing, 
(250) 702-7975,"Courtenay, Canada",http://www.forbiddenbrewing.com,Forbidden Brewing Co., 
,"London , Canada",,Forked River Brewing Company,45 Pacific Court  Unit 16
(204) 487-3678,"Winnipeg, Canada",http://www.fortgarry.com,Fort Garry Brewing Co Ltd.,130 Lowson Crescent 
(604) 940-9949,"Delta, Canada",http://fourwindsbrewing.ca,Four Winds Brewing Company Ltd,# 4 - 7355 72nd Street 
(306) 664-2233,"Saskatoon, Canada",,Fox and Hounds Pub and Brewery,20-7 Asisniboine Dr 
418-479-5683,"Frampton, Canada",http://www.framptonbrasse.com,Frampton Brasse,430 5eme Rang 
(250) 491-2695,"Kelowna, Canada",,Freddys Brewpub,948 McCurdy Road 
(250) 765-8956,"Kelowna , Canada",http://www.mccurdybowl.com,Freddy's Brewpub,124-948 McCurdy Rd.  
,"Calgary, Canada",http://www.freeholdbrewing.ca,Freehold Brewing Company, 
,"Richmond, Canada",http://www.fuggleswarlock.com,Fuggles & Warlock Craftworks,Unit 103 - 11220 Horseshoe Way 
,"Charlottetown, Canada",http://www.halifax.gahan.ca,Gahan Brewery -Production facility,449 University Ave 
,"Gatineau, Canada",,Gainsbourg Bistro-brasserie,9 Aubry St 
(416) 520-1972,"Gananoque, Canada",http://www.ganbeer.com,Gananoque Brewing Company,9 King Street East 
(902) 453-5343,"Halifax, Canada",http://www.garrisonbrewing.com,Garrison Brewing Co,1149 Marginal Rd 
,"Trenton , Canada",,Gateway Brewing Company ,33 Ontario Street  
519-843-1660,"Fergus, Canada",,Gilbertson & Page (Canada) Inc.,620 Glengarry Cres. 
(250) 661-4664,"Courtenay, Canada",http://www.gladstonebrewing.ca,Gladstone Brewing,244 4th Ave SW 
(519) 886-2071,"Waterloo, Canada",,Gold Crown Brewing Co,71 King St N 
(819) 562-4589,"Sherbrooke, Canada",http://www.lionlennoxville.com,Golden Lion Pub and Brewing Co,2896 College Street/PO Box 474 
1 403-282-5315,"Calgary, Canada",http://www.goodmoodbrewery.com,Good Mood Brewery, 
(519) 620-3233,"Cambridge, Canada",http://www.grandriverbrewing.com,Grand River Brewing,295 Ainslie St South 
(416) 322-0723,"Toronto, Canada",http://www.granitebrewery.ca,Granite Brewery,245 Eglinton Ave E 
(902) 423-5660,"Halifax, Canada",http://www.granitebrewery.ca,Granite Brewery (No 2),6054 Stairs St 
(604) 687-2739,"Vancouver, Canada",http://www.gib.ca,Granville Island Brewing Co,1441 Cartwright St 
604-687-2739,"Vancouver, Canada",http://www.gib.ca,Granville Island Brewing Co,1441 Cartwright Street 
(506) 459-7710,"Fredericton, Canada",http://www.graystonebrewing.com,Gray Stone Brewing,221king st 
,"Toronto, Canada",,Great Lakes Brewery,30 Queen Elizabeth Blvd 
(416) 255-4510,"Etobicoke, Canada",http://www.greatlakesbeer.com,Great Lakes Brewing Co/Etobicoke,30 Queen Elizabeth Blvd 
(306) 653-4653,"Saskatoon, Canada",,Great Western Brewing Co,519 Second Ave N 
,"North Vancouver, Canada",,Green Leaf Brewing ,123 Carrie Cates Ct.  
(506) 454-4810,"Fredericton, Canada",http://www.grimross.com,Grimross Brewing Co,600 Bishop Drive 
(403) 678-9983,"Canmore, Canada",http://www.thegrizzlypaw.com,Grizzly Paw Brewing Co,622 8th St 
(250) 653-2383,"Salt Spring Island, Canada",http://www.saltspring.com/brewer,Gulf Islands Brewery,270 Furness Rd 
(403) 605-0420,"Cochrane, Canada",http://www.halfhitchbrewing.ca,Half Hitch Brewing,15 Box Ridge Road 
(204) 832-7468,"Winnipeg, Canada",http://www.halfpintsbrewing.com,Half Pints Brewing Co,550 Roseberry Street 
(506) 333-4807,"Quispamis, Canada",http://www.hrbrewing.ca,Hammond River Brewing Company,135 Stock Farm Rd 
(519) 699-4413,"Heidelberg, Canada",,Heidelberg Restaurant and Brewery,"PO Box 116, Two King St "
(902) 356-3556,"Liverpool, Canada",http://www.hellbaybrewing.com,Hell Bay Brewing Company,38 Legion St 
(604) 263-9994,"Vancouver, Canada",http://www.hellsgatebrewing.com,Hell' S Gate Brewing Co,406-1148 Homer St. 
,"Medicine Hat, Canada",http://www.hellsbasement.com,Hells Basement Brewery,"#10, 552 18st SW "
(514) 276-0473,"Montreal, Canada",http://www.helm-mtl.ca,HELM Brasseur Gourmand,273 Rue Bernard Ouest 
(613) 257-7845,"Carlton Place, Canada",http://www.heritagebrewing.com,Heritage Brewing Ltd,40 Bennett St Unit 5-7 
(604) 905-2739,"Whistler, Canada",,High Mountain Brewing Co,4355 Blackcomb Way 
(705) 386-2337,"South River, Canada",http://www.highlanderbrewco.com,Highlander Brewing Co,19 Howard St 
(819) 691-6165,"Ste-Sophie , Canada",,HM Brewing E, 
(519) 941-8887,"Orangeville, Canada",http://www.hockleybeer.ca,Hockley Valley Brewing,25 Centennial Rd 
,"Saint Albert, Canada",,Hogs Head Brewing Company ,16 Rayborn Crescent 
(780) 459-2204,"Albert, Canada",http://www.hogsheadbrewing.ca,Hog's Head BrewingCompany,16 Rayborn Crescent St 
,"Assomption , Canada",,Hopfenstark,643 L'Ange-Gardien 
(450) 713-3060,"L'Assomption, Canada",http://www.hopfenstark.com,Hopfenstark,643 Boulevard L'Ange Gardien 
(306) 477-3473,"Saskatoon, Canada",,Hose and Hydrant Brewing Co,612 11th St E 
(604) 377-4426,"Squamish, Canada",http://www.howesound.com,Howe Sound Brewing Co,PO Box 978 / 37801 Cleveland Ave 
