"DATE","TOURNAMENT","LOCATION","COURSE","PURSE","NETWORK","CHAMPION","PROFILE"
"Jul 13-16","John Deere Classic","Silvis, Illinois","TPC Deere Run","$5,600,000","GOLF/CBS","","http://www.cbssports.com/golf/leaderboard/pga-tour/432828"
"Jul 20-23","Barbasol Championship","Opelika, Alabama","Robert Trent Jones at Grand National - Lake Course","$3,500,000","GOLF","","http://www.cbssports.com/golf/leaderboard/pga-tour/2153137"
"Jul 20-23","British Open","Gullane,","Royal Birkdale Golf Course","$10,250,000","NBC/GOLF","","http://www.cbssports.com/golf/leaderboard/pga-tour/240401"
"Jul 27-30","RBC Canadian Open","Oakville, Ontario","Glen Abbey","$6,000,000","GOLF/CBS","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186101"
"Aug 3-6","Barracuda Championship","Reno, Nevada","Montreux Golf and Country Club","$3,300,000","GOLF","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186102"
"Aug 3-6","World Golf Championships - Bridgestone Invitational","Akron, OH","Firestone Country Club","$9,750,000","CBS/GOLF","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186103"
"Aug 10-13","PGA Championship","Charlotte, North Carolina","Quail Hollow Club","$10,500,000","TNT/CBS","","http://www.cbssports.com/golf/leaderboard/pga-tour/146676"
"Aug 17-20","Wyndham Championship","Greensboro, North Carolina","Sedgefield Country Club","$5,800,000","GOLF/CBS","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186105"
"Aug 24-27","THE NORTHERN TRUST","Old Westbury, New York","Glen Oaks","$8,750,000","GOLF/CBS","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186106"
"Sep 1-4","Dell Technologies Championship","Norton, Massachusetts","TPC Boston","$8,750,000","GOLF/NBC","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186107"
"Sep 14-17","BMW Championship","Lake Forest, Illinois","Conway Farms Golf Club","$8,750,000","GOLF/NBC","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186108"
"Sep 21-24","TOUR Championship","Atlanta, Georgia","East Lake Golf Course","$8,750,000","GOLF/NBC","","http://www.cbssports.com/golf/leaderboard/pga-tour/1186109"
"Sep 28-Oct 1","The Presidents Cup","Jersey City, New Jersey","Liberty National GC","TBA","GOLF/NBC","","http://www.cbssports.com/golf/leaderboard/pga-tour/447731"
